param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
1.47202581 	0.43552759 	0.52230022 	0.93961279 	0.55424321 	-0.93812005 	0.87005626 	0.85144345 	0.47337967 	0.90858073 	-0.73420787 	0.99805453 	0.56240307 	0.49187198 	0.37922364 	0.00492726 	0.32738398 	0.48571925 	0.6000 	0 
0.92579276 	0.78393074 	0.10790147 	0.92474291 	0.93397404 	-1.41757648 	0.54907578 	0.82929867 	0.50651278 	0.99195283 	0.30784475 	1.27854994 	0.91337277 	0.24714194 	0.09876987 	0.00342685 	0.16792082 	0.05935799 	0.5804 	1 
1.50531539 	1.21804486 	0.62741542 	0.93121413 	0.42815973 	-1.41785157 	0.48613505 	0.74733316 	0.27133884 	0.90710169 	-0.06361311 	1.98281924 	0.40338249 	0.68732492 	0.52751936 	0.00061578 	0.43089556 	0.09080439 	0.5615 	2 
1.36730776 	1.54177561 	0.55681288 	0.71271740 	0.20441396 	-1.73483194 	0.28576734 	0.92651197 	0.04954930 	0.95525290 	-0.58444110 	2.26942787 	0.47254010 	0.73626893 	0.63671323 	0.00155683 	0.46054849 	0.39473221 	0.5432 	3 
1.75071441 	1.72109689 	0.23550059 	0.51389843 	0.95610232 	-1.75319432 	0.15848804 	0.84755457 	0.91765142 	0.96738013 	0.05005131 	2.27713691 	0.35027112 	0.13373135 	0.43361601 	0.00093852 	0.48163509 	0.48971613 	0.5254 	4 
1.97888566 	2.00885077 	0.47403030 	0.71304874 	0.50510687 	-2.03012753 	0.24783636 	0.67622121 	0.94490467 	0.94056293 	0.22961547 	2.32066277 	0.27739555 	0.03109247 	0.64106137 	0.00147794 	0.43536879 	0.48230831 	0.5083 	5 
1.84286851 	1.69057636 	0.26607783 	0.95200913 	0.64582596 	-2.22751192 	0.28716465 	0.15129018 	0.90233882 	0.93954688 	-0.16781916 	2.25172157 	0.21480517 	0.01962293 	0.65166428 	0.00091052 	0.48379178 	0.83867050 	0.4917 	6 
2.00799818 	1.93194527 	0.55706059 	0.48054940 	0.42519412 	-2.43746130 	0.48514626 	0.34919013 	0.79419875 	0.94712290 	-0.43288475 	2.42278153 	0.03146787 	0.32914053 	0.28429165 	0.00108207 	0.83159112 	0.27853402 	0.4756 	7 
1.79932512 	2.07440733 	0.90580140 	0.76348191 	0.16412323 	-2.24020889 	0.36777778 	0.68834063 	0.95654381 	0.98148560 	-0.30933992 	2.28080670 	0.09654283 	0.05903002 	0.54832342 	0.00027666 	0.55938864 	0.23176776 	0.4601 	8 
1.43295275 	2.13395068 	0.51194130 	0.68125739 	0.22863793 	-2.50386247 	0.52147019 	0.58892904 	0.73211443 	0.89511609 	0.24857898 	2.23622829 	0.01653003 	0.33435740 	0.50831110 	0.00029897 	0.43700621 	0.27149492 	0.4451 	9 
1.57368860 	2.15566006 	0.71550182 	0.74369384 	0.05614477 	-2.78754456 	0.54356302 	0.58779799 	0.98680334 	0.93528755 	0.44035595 	2.16826431 	0.06538573 	0.16514205 	0.53575927 	0.00044686 	0.02663394 	0.37458426 	0.4306 	10 
1.33285634 	2.51872696 	0.37535637 	0.73867944 	0.06080857 	-2.55793576 	0.56347340 	0.34976995 	0.82940843 	0.97160367 	0.09824255 	2.15860404 	0.29592833 	0.20458237 	0.10230175 	0.00052863 	0.24890489 	0.17370699 	0.4165 	11 
1.44626389 	2.37773613 	0.50097121 	0.73235120 	0.02616390 	-2.03043913 	0.42160950 	0.15472293 	0.91933067 	0.98007331 	0.16075033 	2.41602181 	0.33122921 	0.54384345 	0.16456689 	0.00020288 	0.12549662 	0.51671960 	0.4029 	12 
1.59744718 	2.40168228 	0.28539423 	0.76364122 	0.08765173 	-2.22347212 	0.45343774 	0.02780832 	0.55257545 	0.93937794 	-0.19593790 	2.65184484 	0.31906575 	0.49472670 	0.26244807 	0.00024813 	0.13087121 	0.24827898 	0.3898 	13 
1.72311410 	2.35226032 	0.13551506 	0.76862490 	0.19353036 	-2.31485299 	0.39607187 	0.31431737 	0.67267381 	0.92899986 	-0.30019982 	2.65934886 	0.18246834 	0.52781063 	0.09971730 	0.00016529 	0.14071669 	0.01975869 	0.3771 	14 
1.92880345 	2.88977307 	0.58585405 	0.82097361 	0.20775870 	-2.59545174 	0.21383214 	0.09001704 	0.83507491 	0.95383390 	-0.41802204 	2.90977710 	0.06714656 	0.40336958 	0.41498739 	0.00070427 	0.15508854 	0.16584842 	0.3648 	15 
2.01627002 	2.94531562 	0.76841040 	0.73461465 	0.11872965 	-2.77527176 	0.26056790 	0.03489962 	0.98998678 	0.89299913 	-0.48677481 	2.91661159 	0.16408958 	0.46024213 	0.40351962 	0.00084708 	0.39756070 	0.21007228 	0.3528 	16 
1.93769075 	3.07208803 	0.77379671 	0.86055674 	0.10018440 	-2.83722125 	0.24893827 	0.11879451 	0.85654589 	0.93318266 	-0.59346475 	2.99505027 	0.07275285 	0.14370560 	0.49750672 	0.00156009 	0.33571906 	0.36982517 	0.3413 	17 
2.17978632 	2.90157963 	0.67407597 	0.75931807 	0.23571706 	-2.80667337 	0.26280164 	0.01137142 	0.75822487 	0.93937491 	-0.60436567 	3.05149905 	0.18423944 	0.34736395 	0.45331131 	0.00079262 	0.28623855 	0.19386394 	0.3302 	18 
2.15514586 	2.75868775 	0.60821925 	0.72005620 	0.53272452 	-2.80806779 	0.09624668 	0.16287791 	0.98206054 	0.94364384 	-0.67799763 	2.91560381 	0.07297055 	0.44840817 	0.20975875 	0.00106282 	0.50435046 	0.24585347 	0.3194 	19 
